Prime,Buckets,,,Groupings,Label,groupings
757,701 up to 800,,,13301,13301 up to 13400,
761,701 up to 800,,,13401,13401 up to 13500,
769,701 up to 800,,,13501,13501 up to 13600,
773,701 up to 800,,,13601,13601 up to 13700,
787,701 up to 800,,,13701,13701 up to 13800,
797,701 up to 800,,,13801,13801 up to 13900,
809,801 up to 900,,,13901,13901 up to 14000,
811,801 up to 900,,,14001,14001 up to 14100,
821,801 up to 900,,,14101,14101 up to 14200,
823,801 up to 900,,,14201,14201 up to 14300,
827,801 up to 900,,,14301,14301 up to 14400,
829,801 up to 900,,,14401,14401 up to 14500,
839,801 up to 900,,,14501,14501 up to 14600,
853,801 up to 900,,,14601,14601 up to 14700,
857,801 up to 900,,,14701,14701 up to 14800,
859,801 up to 900,,,14801,14801 up to 14900,
863,801 up to 900,,,14901,14901 up to 15000,
877,801 up to 900,,,15001,15001 up to 15100,
881,801 up to 900,,,15101,15101 up to 15200,
883,801 up to 900,,,15201,15201 up to 15300,
887,801 up to 900,,,15301,15301 up to 15400,
907,901 up to 1000,,,15401,15401 up to 15500,
911,901 up to 1000,,,15501,15501 up to 15600,
919,901 up to 1000,,,15601,15601 up to 15700,
929,901 up to 1000,,,15701,15701 up to 15800,
937,901 up to 1000,,,15801,15801 up to 15900,
941,901 up to 1000,,,15901,15901 up to 16000,
947,901 up to 1000,,,16001,16001 up to 16100,
953,901 up to 1000,,,16101,16101 up to 16200,
967,901 up to 1000,,,16201,16201 up to 16300,
971,901 up to 1000,,,16301,16301 up to 16400,
977,901 up to 1000,,,16401,16401 up to 16500,
983,901 up to 1000,,,16501,16501 up to 16600,
991,901 up to 1000,,,16601,16601 up to 16700,
997,901 up to 1000,,,16701,16701 up to 16800,
1009,1001 up to 1100,,,16801,16801 up to 16900,
1013,1001 up to 1100,,,16901,16901 up to 17000,
1019,1001 up to 1100,,,17001,17001 up to 17100,
1021,1001 up to 1100,,,17101,17101 up to 17200,
1031,1001 up to 1100,,,17201,17201 up to 17300,
1033,1001 up to 1100,,,17301,17301 up to 17400,
1039,1001 up to 1100,,,17401,17401 up to 17500,
1049,1001 up to 1100,,,17501,17501 up to 17600,
1051,1001 up to 1100,,,17601,17601 up to 17700,
1061,1001 up to 1100,,,17701,17701 up to 17800,
1063,1001 up to 1100,,,17801,17801 up to 17900,
1069,1001 up to 1100,,,17901,17901 up to 18000,
1087,1001 up to 1100,,,18001,18001 up to 18100,
1091,1001 up to 1100,,,18101,18101 up to 18200,
1093,1001 up to 1100,,,18201,18201 up to 18300,
1097,1001 up to 1100,,,18301,18301 up to 18400,
1103,1101 up to 1200,,,18401,18401 up to 18500,
1109,1101 up to 1200,,,18501,18501 up to 18600,
1117,1101 up to 1200,,,18601,18601 up to 18700,
1123,1101 up to 1200,,,18701,18701 up to 18800,
1129,1101 up to 1200,,,18801,18801 up to 18900,
1151,1101 up to 1200,,,18901,18901 up to 19000,
1153,1101 up to 1200,,,19001,19001 up to 19100,
1163,1101 up to 1200,,,19101,19101 up to 19200,
1171,1101 up to 1200,,,19201,19201 up to 19300,
1181,1101 up to 1200,,,19301,19301 up to 19400,
1187,1101 up to 1200,,,19401,19401 up to 19500,
1193,1101 up to 1200,,,19501,19501 up to 19600,
1201,1201 up to 1300,,,19601,19601 up to 19700,
1213,1201 up to 1300,,,19701,19701 up to 19800,
1217,1201 up to 1300,,,19801,19801 up to 19900,
1223,1201 up to 1300,,,19901,19901 up to 20000,
1229,1201 up to 1300,,,20001,20001 up to 20100,
1231,1201 up to 1300,,,20101,20101 up to 20200,
1237,1201 up to 1300,,,20201,20201 up to 20300,
1249,1201 up to 1300,,,20301,20301 up to 20400,
1259,1201 up to 1300,,,20401,20401 up to 20500,
1277,1201 up to 1300,,,20501,20501 up to 20600,
1279,1201 up to 1300,,,20601,20601 up to 20700,
1283,1201 up to 1300,,,20701,20701 up to 20800,
1289,1201 up to 1300,,,20801,20801 up to 20900,
1291,1201 up to 1300,,,20901,20901 up to 21000,
